type,country,working_count
http,AE,185
http,AL,5
http,AM,3
http,AR,15
http,AT,180
http,AU,239
http,BA,4
http,BB,1
http,BD,13
http,BE,11
http,BG,6
http,BR,242
http,BS,5
http,BW,1
http,BY,1
http,BZ,26
http,CA,1935
http,CH,273
http,CL,8
http,CN,315
http,CO,11
http,CR,96
http,CY,18
http,CZ,173
http,DE,629
http,DK,9
http,DO,10
http,DZ,4
http,EC,1
http,EE,318
http,EG,9
http,ES,75
http,ET,1
http,FI,63
http,FR,339
http,GB,6748
http,GD,1
http,GH,1
http,GI,5
http,GR,9
http,GT,9
http,HK,244
http,HN,1
http,HR,5
http,HU,15
http,ID,113
http,IE,23
http,IL,19
http,IM,1023
http,IN,175
http,IQ,3
http,IR,18
http,IS,1
http,IT,73
http,JM,6
http,JO,147
http,JP,121
http,KE,11
http,KH,14
http,KR,89
http,KY,4
http,KZ,424
http,LB,1
http,LC,1
http,LT,872
http,LU,312
http,LV,8
http,MA,2
http,MD,2
http,ME,1
http,MK,1
http,MM,1
http,MO,1
http,MT,11
http,MX,24
http,MY,35
http,NA,2
http,NL,2742
http,NO,46
http,NZ,2
http,PA,3
http,PE,5
http,PG,1
http,PH,18
http,PK,3
http,PL,63
http,PR,3
http,PT,9
http,PY,2
http,QA,2
http,RE,5
http,RO,867
http,RS,22
http,RU,1408
http,RW,1
http,SA,2
http,SC,777
http,SE,210
http,SG,1228
http,SI,11
http,SK,7
http,SN,3
http,SY,1
http,TC,1
http,TG,1
http,TH,111
http,TR,40
http,TW,12
http,UA,68
http,US,39856
http,UZ,2
http,VE,3
http,VG,37
http,VN,27
http,XK,1
http,ZA,401
http,ZW,3
http,ALL,63804
https,AR,1
https,AU,1
https,BD,1
https,BG,1
https,BR,1
https,CA,1
https,CH,1
https,CN,12
https,CO,2
https,DE,5
https,EC,1
https,EG,1
https,ES,2
https,FI,1
https,FR,6
https,GB,1
https,GT,1
https,HK,5
https,ID,5
https,IE,1
https,IN,1
https,IT,1
https,JP,3
https,KR,1
https,MA,2
https,MX,1
https,NL,10
https,PL,1
https,QA,2
https,RS,1
https,RU,9
https,SA,1
https,SG,2
https,TH,6
https,US,19
https,VN,1
https,ZA,1
https,ALL,112
elite,BR,1
elite,CA,3
elite,CN,5
elite,ES,1
elite,FR,3
elite,HK,1
elite,IN,1
elite,JP,1
elite,MX,1
elite,NL,7
elite,PL,1
elite,RS,1
elite,RU,1
elite,SA,1
elite,SG,1
elite,US,4
elite,ALL,33
socks4,ES,1
socks4,FR,1
socks4,KR,1
socks4,PL,1
socks4,RU,2
socks4,US,5
socks4,VN,1
socks4,ALL,12
socks5,AL,1
socks5,AU,1
socks5,BR,1
socks5,CA,1
socks5,CN,5
socks5,DE,3
socks5,ES,1
socks5,FR,1
socks5,HK,1
socks5,IN,2
socks5,JP,3
socks5,KR,2
socks5,MY,1
socks5,NL,2
socks5,RU,1
socks5,SC,1
socks5,SG,5
socks5,US,12
socks5,ALL,44
